#t,ESS,tempDiff,temp
0,200.00000000000065,0.0,0.0
1,199.9998009200639,4.599077465785635E-6,4.599077465785635E-6
2,199.99920768672376,4.604415837621862E-6,9.203493303407498E-6
3,199.9982356781555,4.543710204094909E-6,1.3747203507502407E-5
4,199.99686989701007,4.565810557120802E-6,1.831301406462321E-5
5,199.99509417792265,4.6105367489549204E-6,2.292355081357813E-5
6,199.99287679159605,4.6600234681948585E-6,2.7583574281772988E-5
7,199.9902503785844,4.6887686777039484E-6,3.227234295947694E-5
8,199.98719628158725,4.718228135862482E-6,3.699057109533942E-5
9,199.98377629347314,4.679171078812307E-6,4.166974217415172E-5
10,199.9799577741891,4.679796744977062E-6,4.6349538919128785E-5
11,199.97585034970518,4.581517739307645E-6,5.093105665843643E-5
12,199.9712899382977,4.636328211584705E-6,5.556738487002114E-5
13,199.96625570458343,4.621849979152024E-6,6.0189234849173165E-5
14,199.96071366550618,4.660248564772085E-6,6.484948341394526E-5
15,199.9548098526151,4.648118319193468E-6,6.949760173313873E-5
16,199.9484775635393,4.653813140663492E-6,7.415141487380223E-5
17,199.9418635313678,4.628025743580149E-6,7.877944061738237E-5
18,199.9347705084348,4.665850133079021E-6,8.344529075046138E-5
19,199.92727594475969,4.660513753557907E-6,8.81058045040193E-5
20,199.9192867816074,4.679859082894514E-6,9.278566358691381E-5
21,199.91086445872125,4.65062925845732E-6,9.743629284537113E-5
22,199.9021988808806,4.571238381995292E-6,1.0200753122736642E-4
23,199.89310617637386,4.591024401875819E-6,1.0659855562924224E-4
24,199.8835806389315,4.585256471680684E-6,1.1118381210092292E-4
25,199.8738680482573,4.604282039981574E-6,1.157880941409045E-4
26,199.8638966450987,4.6021347600858335E-6,1.2039022890099033E-4
27,199.85367486133717,4.615307953910137E-6,1.2500553685490046E-4
28,199.84301374842178,4.644379657610914E-6,1.2964991651251138E-4
29,199.8321539180644,4.62985330927565E-6,1.3427976982178703E-4
30,199.82083483123643,4.623891251382445E-6,1.3890366107316947E-4
31,199.80872853367663,4.724771772685672E-6,1.4362843284585513E-4
32,199.79625530018276,4.722773517937934E-6,1.4835120636379307E-4
33,199.78333941710045,4.756601022205695E-6,1.5310780738599875E-4
34,199.76987789590717,4.79626775247016E-6,1.579040751384689E-4
35,199.75616536998677,4.741560978613257E-6,1.6264563611708216E-4
36,199.741902602763,4.794581646220674E-6,1.6744021776330284E-4
37,199.72671250806877,4.88041598901101E-6,1.7232063375231384E-4
38,199.711376020878,4.835151925729917E-6,1.7715578567804375E-4
39,199.69577135212307,4.797817835306521E-6,1.8195360351335027E-4
40,199.67958947956956,4.847577750263583E-6,1.8680118126361385E-4
41,199.66314351002882,4.7917550318478805E-6,1.9159293629546174E-4
42,199.64655494532826,4.7920146624148395E-6,1.9638495095787657E-4
43,199.62968312299685,4.806987453013033E-6,2.011919384108896E-4
44,199.61235572229353,4.781907125531907E-6,2.059738455364215E-4
45,199.5947927910445,4.749777759005907E-6,2.107236232954274E-4
46,199.57701777919004,4.747885835628362E-6,2.1547150913105577E-4
47,199.55869282637087,4.780399489633112E-6,2.202519086206889E-4
48,199.53975425156298,4.821854799282642E-6,2.2507376341997153E-4
49,199.52078566967745,4.7795837504929694E-6,2.298533471704645E-4
50,199.50168841230104,4.76679754019533E-6,2.3462014471065982E-4
51,199.4824197672448,4.729043695080326E-6,2.3934918840574015E-4
52,199.46298106121762,4.680466975678043E-6,2.4402965538141818E-4
53,199.44307581199774,4.687439707574262E-6,2.487170950889924E-4
