"","treeName","modelByASMC","modelBySS"
"1","sim--1373711024.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"2","sim--2111155351.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"3","sim--1464332993.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"4","sim--1050299845.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"5","sim--1140921814.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"6","sim--1787744172.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"7","sim--448788472.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"8","sim-1168267423.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"9","sim--403477487.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"10","sim-1213578408.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"11","sim-1860400766.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"12","sim-1582300571.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"13","sim--125377293.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"14","sim-1258889392.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"15","sim--817510635.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"16","sim-844856244.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"17","sim-935478213.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"18","sim-521445065.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"19","sim-198033886.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"20","sim-612067034.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
