#treeName,Method,NumericalLogZ,logZ
sim-1121221206.msf.Rep16,SS,NA,-1256.0907544286374
sim-1121221206.msf.Rep17,Adaptive,0.0,-1255.487260661292
sim-1121221206.msf.Rep17,Deterministic,0.0,-1255.6092616097364
sim-1121221206.msf.Rep17,MCMC,NA,0.0
sim-1121221206.msf.Rep17,LIS,NA,-1255.7491684781414
sim-1121221206.msf.Rep17,SS,NA,-1256.2058819840324
sim-1121221206.msf.Rep18,Adaptive,0.0,-1255.703321859347
sim-1121221206.msf.Rep18,Deterministic,0.0,-1255.8823146233713
sim-1121221206.msf.Rep18,MCMC,NA,0.0
sim-1121221206.msf.Rep18,LIS,NA,-1255.9764149609643
sim-1121221206.msf.Rep18,SS,NA,-1256.2636016851854
sim-1121221206.msf.Rep19,Adaptive,0.0,-1255.8995087706699
