"X.treeName","Method","NumericalLogZ","logZ"
"sim-1121221206.msf.Rep0","Adaptive",0,-28317.803888273
"sim-1121221206.msf.Rep0","Deterministic",0,-28307.3674474427
"sim-1121221206.msf.Rep1","Adaptive",0,-28312.3593530945
"sim-1121221206.msf.Rep1","Deterministic",0,-28299.9289937204
"sim-1121221206.msf.Rep2","Adaptive",0,-28304.5218093376
"sim-1121221206.msf.Rep2","Deterministic",0,-28336.897630861
"sim-1121221206.msf.Rep3","Adaptive",0,-28311.1328381318
"sim-1121221206.msf.Rep3","Deterministic",0,-28310.4240458234
"sim-1121221206.msf.Rep4","Adaptive",0,-28341.5399742119
"sim-1121221206.msf.Rep4","Deterministic",0,-28307.5845535753
"sim-1121221206.msf.Rep5","Adaptive",0,-28328.6990987051
"sim-1121221206.msf.Rep5","Deterministic",0,-28306.7475749374
"sim-1121221206.msf.Rep6","Adaptive",0,-28304.0711578509
"sim-1121221206.msf.Rep6","Deterministic",0,-28301.7040080695
"sim-1121221206.msf.Rep7","Adaptive",0,-28307.5013601286
"sim-1121221206.msf.Rep7","Deterministic",0,-28309.8006891869
"sim-1121221206.msf.Rep8","Adaptive",0,-28317.555510633
"sim-1121221206.msf.Rep8","Deterministic",0,-28329.4720095377
"sim-1121221206.msf.Rep9","Adaptive",0,-28311.9931209332
"sim-1121221206.msf.Rep9","Deterministic",0,-28331.0651837401
"sim-1121221206.msf.Rep10","Adaptive",0,-28306.4677221582
"sim-1121221206.msf.Rep10","Deterministic",0,-28305.6846906387
"sim-1121221206.msf.Rep11","Adaptive",0,-28328.4847966655
"sim-1121221206.msf.Rep11","Deterministic",0,-28322.6762739524
"sim-1121221206.msf.Rep12","Adaptive",0,-28302.164466191
"sim-1121221206.msf.Rep12","Deterministic",0,-28343.9262332316
"sim-1121221206.msf.Rep13","Adaptive",0,-28309.4745404281
"sim-1121221206.msf.Rep13","Deterministic",0,-28311.2210944805
"sim-1121221206.msf.Rep14","Adaptive",0,-28326.7402131731
"sim-1121221206.msf.Rep14","Deterministic",0,-28319.0647689692
"sim-1121221206.msf.Rep15","Adaptive",0,-28314.5649399298
"sim-1121221206.msf.Rep15","Deterministic",0,-28322.2578125173
"sim-1121221206.msf.Rep16","Adaptive",0,-28321.6529006821
"sim-1121221206.msf.Rep16","Deterministic",0,-28310.6878929664
"sim-1121221206.msf.Rep17","Adaptive",0,-28310.534206005
"sim-1121221206.msf.Rep17","Deterministic",0,-28318.1134812102
"sim-1121221206.msf.Rep18","Adaptive",0,-28311.1915779836
"sim-1121221206.msf.Rep18","Deterministic",0,-28326.0576707172
"sim-1121221206.msf.Rep0","Adaptive",0,-28330.1038501776
"sim-1121221206.msf.Rep0","Deterministic",0,-28319.964903051
