"X.treeName","Method","NumericalLogZ","logZ"
"sim-1121221206.msf.Rep0","Adaptive",0,-28282.3845766361
"sim-1121221206.msf.Rep0","Deterministic",0,-28283.2743376967
"sim-1121221206.msf.Rep1","Adaptive",0,-28281.4588017871
"sim-1121221206.msf.Rep1","Deterministic",0,-28280.8278268386
"sim-1121221206.msf.Rep2","Adaptive",0,-28282.4484644996
"sim-1121221206.msf.Rep2","Deterministic",0,-28279.8334877763
"sim-1121221206.msf.Rep3","Adaptive",0,-28282.2439290672
"sim-1121221206.msf.Rep3","Deterministic",0,-28283.9557980342
"sim-1121221206.msf.Rep4","Adaptive",0,-28287.7854018527
"sim-1121221206.msf.Rep4","Deterministic",0,-28282.2688900781
"sim-1121221206.msf.Rep5","Adaptive",0,-28288.8218042407
"sim-1121221206.msf.Rep5","Deterministic",0,-28282.5465964373
"sim-1121221206.msf.Rep6","Adaptive",0,-28277.6137811306
"sim-1121221206.msf.Rep6","Deterministic",0,-28285.1112389007
"sim-1121221206.msf.Rep7","Adaptive",0,-28288.8349449584
"sim-1121221206.msf.Rep7","Deterministic",0,-28281.9251732246
"sim-1121221206.msf.Rep8","Adaptive",0,-28282.3442742407
"sim-1121221206.msf.Rep8","Deterministic",0,-28284.1377853724
"sim-1121221206.msf.Rep9","Adaptive",0,-28285.889574669
"sim-1121221206.msf.Rep9","Deterministic",0,-28283.0722376151
"sim-1121221206.msf.Rep10","Adaptive",0,-28284.2922763099
"sim-1121221206.msf.Rep10","Deterministic",0,-28282.0498843887
"sim-1121221206.msf.Rep11","Adaptive",0,-28283.1189646498
"sim-1121221206.msf.Rep11","Deterministic",0,-28284.3021058467
"sim-1121221206.msf.Rep12","Adaptive",0,-28282.4549319237
"sim-1121221206.msf.Rep12","Deterministic",0,-28280.3106577072
"sim-1121221206.msf.Rep13","Adaptive",0,-28285.3189279209
"sim-1121221206.msf.Rep13","Deterministic",0,-28285.8155589125
"sim-1121221206.msf.Rep14","Adaptive",0,-28284.2193175407
"sim-1121221206.msf.Rep14","Deterministic",0,-28284.444933998
"sim-1121221206.msf.Rep15","Adaptive",0,-28281.4600105552
"sim-1121221206.msf.Rep15","Deterministic",0,-28283.2438336649
"sim-1121221206.msf.Rep0","Adaptive",0,-28285.0154358924
"sim-1121221206.msf.Rep0","Deterministic",0,-28280.3300125958
"sim-1121221206.msf.Rep1","Adaptive",0,-28285.7395418062
"sim-1121221206.msf.Rep1","Deterministic",0,-28284.6077397935
"sim-1121221206.msf.Rep2","Adaptive",0,-28283.9241886335
"sim-1121221206.msf.Rep2","Deterministic",0,-28281.5585667962
"sim-1121221206.msf.Rep3","Adaptive",0,-28278.1992548889
"sim-1121221206.msf.Rep3","Deterministic",0,-28284.4905838781
