#t,ESS,tempDiff,temp
0,999.9999999999848,0.0,0.0
1,999.989779526563,2.9390287988667864E-5,2.9390287988667864E-5
2,999.959259711371,2.939289439055082E-5,5.8783182379218684E-5
3,999.9091927798316,2.9422392112267793E-5,8.820557449148647E-5
4,999.8396882639223,2.941516587447531E-5,1.1762074036596179E-4
5,999.7502448467295,2.94251602444754E-5,1.470459006104372E-4
6,999.6416358432789,2.9326551873988735E-5,1.7637245248442593E-4
7,999.5160338655571,2.932125154402661E-5,2.0569370402845254E-4
8,999.3726921966522,2.9207058626430892E-5,2.3490076265488344E-4
9,999.2119911380603,2.9005213038616998E-5,2.6390597569350043E-4
10,999.032162621108,2.9028931795775904E-5,2.9293490748927634E-4
11,998.8331253674227,2.9223371340638067E-5,3.221582788299144E-4
12,998.614426034185,2.9363995294079433E-5,3.5152227412399385E-4
13,998.3754121391231,2.9561751757864052E-5,3.810840258818579E-4
14,998.1188854411164,2.967744076082622E-5,4.107614666426841E-4
15,997.8442749796699,2.9737416287967585E-5,4.404988829306517E-4
16,997.5522553607738,2.9537811429607227E-5,4.700366943602589E-4
17,997.2419670890042,2.9462234082000426E-5,4.994989284422593E-4
18,996.9147862991308,2.9483086045779723E-5,5.28982014488039E-4
19,996.5720541960774,2.9309434589491557E-5,5.582914490775306E-4
20,996.2124991220115,2.946648148150897E-5,5.877579305590396E-4
21,995.8330564696299,2.9672390702958474E-5,6.174303212619981E-4
22,995.442605696483,2.941092750118031E-5,6.468412487631785E-4
23,995.0331125047255,2.9590079811965664E-5,6.764313285751441E-4
24,994.6137664116943,2.9324750486844025E-5,7.057560790619882E-4
25,994.1768728499711,2.9086522771114716E-5,7.348426018331029E-4
26,993.7301242413092,2.87694013350594E-5,7.636120031681622E-4
27,993.2690765441151,2.8913298414497847E-5,7.925253015826601E-4
28,992.7924268974563,2.8803612658548153E-5,8.213289142412082E-4
29,992.299309492119,2.862253522698832E-5,8.499514494681965E-4
30,991.7843111890866,2.882630150091321E-5,8.787777509691098E-4
31,991.2551297006092,2.8796584107191736E-5,9.075743350763015E-4
32,990.7221305565307,2.8610771449867538E-5,9.36185106526169E-4
