#treeName,Method,NumericalLogZ,logZ
sim-1983759278.msf.Rep0,Deterministic,0.0,-2167.981946712931
sim-1983759278.msf.Rep1,Deterministic,0.0,-2167.4499622506182
sim-1983759278.msf.Rep2,Deterministic,0.0,-2167.7637102107064
sim-1983759278.msf.Rep3,Deterministic,0.0,-2170.8361648841164
sim-1983759278.msf.Rep4,Deterministic,0.0,-2172.944449881696
sim-1983759278.msf.Rep5,Deterministic,0.0,-2168.895673633713
sim-1983759278.msf.Rep6,Deterministic,0.0,-2171.4870969871786
sim-1983759278.msf.Rep7,Deterministic,0.0,-2168.574982159165
sim-1983759278.msf.Rep8,Deterministic,0.0,-2169.0438118666953
sim-1983759278.msf.Rep9,Deterministic,0.0,-2169.480182126496
sim-1983759278.msf.Rep10,Deterministic,0.0,-2167.8995374486312
sim-1983759278.msf.Rep11,Deterministic,0.0,-2170.6194311892423
sim-1983759278.msf.Rep12,Deterministic,0.0,-2170.8864754898227
sim-1983759278.msf.Rep13,Deterministic,0.0,-2170.3047406892792
sim-1983759278.msf.Rep14,Deterministic,0.0,-2169.3368381158925
sim-1983759278.msf.Rep15,Deterministic,0.0,-2169.6571074587996
sim-1983759278.msf.Rep16,Deterministic,0.0,-2170.15968486154
sim-1983759278.msf.Rep17,Deterministic,0.0,-2168.62517863288
sim-1983759278.msf.Rep18,Deterministic,0.0,-2166.454206397743
sim-1983759278.msf.Rep19,Deterministic,0.0,-2170.0847145871776
