#t,ESS,tempDiff,temp
0,200.00000000000065,0.0,0.0
1,199.9997999999997,6.7238854342511245E-6,6.7238854342511245E-6
2,199.9992047327476,6.782359036425625E-6,1.350624447067675E-5
3,199.99821825976477,6.711805132527476E-6,2.0218049603204226E-5
4,199.99684348727777,6.808157804198671E-6,2.7026207407402896E-5
5,199.99508311458055,6.8171569207017E-6,3.38433643281046E-5
6,199.99294873320972,6.900220471304949E-6,4.074358479940955E-5
7,199.99042856965366,6.924585343949527E-6,4.7668170143359076E-5
8,199.98754400226866,6.782214378473847E-6,5.445038452183292E-5
9,199.9843354090644,6.808939599476597E-6,6.125932412130952E-5
10,199.9807551059885,6.924037184298042E-6,6.818336130560756E-5
11,199.9768190542423,6.974921189151283E-6,7.515828249475884E-5
12,199.97255185978514,7.074329119548206E-6,8.223261161430705E-5
13,199.9679937582626,7.120960743488559E-6,8.935357235779561E-5
14,199.96309275506957,7.120340326889581E-6,9.647391268468519E-5
15,199.9578659431601,7.050530516170567E-6,1.0352444320085576E-4
16,199.9522711713222,7.030542332099779E-6,1.1055498553295554E-4
17,199.9463618966705,7.024590374598571E-6,1.175795759075541E-4
18,199.94011579324726,7.018629197765782E-6,1.245982051053199E-4
19,199.93361746140806,7.084665230176216E-6,1.316828703354961E-4
20,199.92680868960915,7.22578891787214E-6,1.3890865925336824E-4
21,199.9196973372723,7.210272625323628E-6,1.4611893187869187E-4
22,199.91224306110954,7.14378150707196E-6,1.5326271338576383E-4
23,199.90455672663285,7.172521544361598E-6,1.6043523493012543E-4
24,199.89663410794785,7.034277369737429E-6,1.6746951229986286E-4
25,199.88836201490784,7.002444082247953E-6,1.744719563821108E-4
26,199.8798586890768,7.1450068137509195E-6,1.8161696319586172E-4
27,199.8711093870854,7.158583115684657E-6,1.8877554631154637E-4
28,199.86207082665518,7.1197272224107725E-6,1.9589527353395714E-4
29,199.8526755450788,7.050135782574313E-6,2.0294540931653146E-4
30,199.84315023367034,7.060970608853933E-6,2.100063799253854E-4
31,199.83331589233578,7.0360329240020655E-6,2.1704241284938746E-4
32,199.82319030141662,6.945706910110413E-6,2.239881197594979E-4
33,199.8126843867082,7.0441785176652005E-6,2.3103229827716308E-4
34,199.80189636018727,7.129922280576506E-6,2.381622205577396E-4
35,199.79107124367036,7.15919456679567E-6,2.453214151245353E-4
36,199.77983181033755,7.05959794252656E-6,2.5238101306706185E-4
37,199.76837603642693,7.082886259797302E-6,2.5946389932685916E-4
38,199.75671345492873,6.993340051558043E-6,2.664572393784172E-4
39,199.74474708551435,7.1589721469833425E-6,2.7361621152540057E-4
40,199.7324120928415,7.262848832558177E-6,2.8087906035795875E-4
41,199.7200090325942,7.2720641842759785E-6,2.881511245422347E-4
42,199.70738301433263,7.170040892344077E-6,2.9532116543457877E-4
43,199.69464433369242,7.170203715970629E-6,3.024913691505494E-4
44,199.68188410368853,7.040150342807236E-6,3.0953151949335663E-4
45,199.66887931588408,7.004538789933659E-6,3.1653605828329027E-4
46,199.655672479302,6.877922829651052E-6,3.234139811129413E-4
47,199.64206979768275,6.913351630295565E-6,3.303273327432369E-4
48,199.62834510420706,6.85448886263402E-6,3.371818216058709E-4
49,199.614272078851,6.956529668837669E-6,3.4413835127470856E-4
50,199.5999059655834,6.918722750683315E-6,3.510570740253919E-4
51,199.58534600105025,6.920382683362884E-6,3.5797745670875474E-4
52,199.57077615407542,6.932985318557615E-6,3.6491044202731235E-4
53,199.55602835833,7.001901084015149E-6,3.719123431113275E-4
54,199.54092466153355,6.927074172542948E-6,3.7883941728387044E-4
55,199.52556449326715,7.047065991129017E-6,3.8588648327499944E-4
56,199.5099428909315,7.020346040002206E-6,3.9290682931500165E-4
57,199.49433152549912,6.9974208652075424E-6,3.999042501802092E-4
58,199.47888157189698,6.998815270532452E-6,4.0690306545074163E-4
59,199.46305453509405,7.073206564331531E-6,4.1397627201507315E-4
60,199.447092785432,7.201130941431128E-6,4.211774029565043E-4
61,199.43068481893155,7.294897189869E-6,4.2847230014637325E-4
62,199.41426454053965,7.391440263166253E-6,4.358637404095395E-4
63,199.39756647950412,7.32057561714392E-6,4.431843160266834E-4
64,199.38072515652098,7.422875537412752E-6,4.5060719156409613E-4
65,199.36399602051924,7.456044695568816E-6,4.5806323625966497E-4
66,199.34683784531515,7.499384508403507E-6,4.655626207680685E-4
67,199.32943337598695,7.400587361990108E-6,4.729632081300586E-4
68,199.31178156808485,7.557847974733704E-6,4.8052105610479234E-4
69,199.29370507666275,7.532254267012069E-6,4.880533103718044E-4
70,199.27511717394174,7.5562237713913535E-6,4.956095341431958E-4
71,199.25634534038468,7.3014027222271315E-6,5.029109368654229E-4
72,199.2373162424585,7.329025091720663E-6,5.102399619571435E-4
73,199.21821768183452,7.319039286346818E-6,5.175590012434903E-4
74,199.19910474108102,7.17940186593296E-6,5.247384031094233E-4
75,199.17995608475456,7.128098485759386E-6,5.318665015951827E-4
76,199.16042141346784,7.0098040663929025E-6,5.388763056615756E-4
77,199.1407972665075,6.873174177444618E-6,5.457494798390202E-4
78,199.1209492575301,6.735553608516633E-6,5.524850334475369E-4
79,199.10079349427383,6.716457747575864E-6,5.592014911951127E-4
80,199.0805986307213,6.6034961675755035E-6,5.658049873626883E-4
81,199.0605390733859,6.603358809437882E-6,5.724083461721262E-4
82,199.04020244913292,6.613859689676699E-6,5.790222058618029E-4
83,199.019504540195,6.525489281241435E-6,5.855476951430443E-4
84,198.99875699343838,6.4836900713696E-6,5.920313852144139E-4
85,198.97780853015232,6.474014264811049E-6,5.985053994792249E-4
86,198.95661454180154,6.434027876721564E-6,6.049394273559465E-4
87,198.93555303119547,6.3249623864322605E-6,6.112643897423788E-4
88,198.9142229958171,6.328365337535446E-6,6.175927550799142E-4
89,198.89269996587947,6.435300838776177E-6,6.240280559186904E-4
90,198.87078813096892,6.371036367346705E-6,6.30399092286037E-4
91,198.8485804664743,6.2980219131770204E-6,6.366971141992141E-4
92,198.82636663624857,6.323850176834441E-6,6.430209643760485E-4
93,198.80423194955486,6.3284580253612944E-6,6.493494224014099E-4
94,198.78164605673345,6.333442513235455E-6,6.556828649146453E-4
95,198.75843503302525,6.391430122767087E-6,6.620742950374124E-4
96,198.73568323268856,6.3915329868742165E-6,6.684658280242866E-4
97,198.71231761787172,6.47494982935435E-6,6.74940777853641E-4
98,198.6886710177919,6.466701294953264E-6,6.814074791485943E-4
99,198.66466647186138,6.491379356176177E-6,6.878988585047705E-4
100,198.64012800095153,6.535817200882177E-6,6.944346757056526E-4
101,198.61526103322603,6.520926139804746E-6,7.009556018454573E-4
102,198.58991353942426,6.561681960115998E-6,7.075172838055733E-4
103,198.56447144077086,6.608959682746668E-6,7.141262434883199E-4
104,198.53843562056653,6.604275906999418E-6,7.207305193953193E-4
105,198.51217736485967,6.668317201638814E-6,7.273988365969581E-4
106,198.48554769073505,6.675121857963996E-6,7.340739584549221E-4
107,198.458455122368,6.785839616944357E-6,7.408597980718665E-4
108,198.43141871667322,6.621873879881157E-6,7.474816719517476E-4
109,198.40428762869928,6.687906409476036E-6,7.541695783612237E-4
110,198.37711107199962,6.5968087000801995E-6,7.607663870613039E-4
111,198.35000523700393,6.635444363041961E-6,7.674018314243458E-4
112,198.32241060882905,6.617148556377635E-6,7.740189799807234E-4
113,198.29468556503937,6.517279156174986E-6,7.805362591368984E-4
114,198.26686460040133,6.468656683437885E-6,7.870049158203363E-4
115,198.23863493114692,6.409656620809488E-6,7.934145724411458E-4
116,198.21065768717963,6.401449740553989E-6,7.998160221816998E-4
117,198.18280028662943,6.569140432139066E-6,8.063851626138389E-4
118,198.15431142269193,6.479549096787305E-6,8.128647117106263E-4
119,198.1257338504124,6.504301306750928E-6,8.193690130173771E-4
120,198.09772764045817,6.485768296021982E-6,8.258547813133991E-4
121,198.06943747051673,6.422714637372872E-6,8.32277495950772E-4
122,198.04046253365334,6.368209858950181E-6,8.386457058097221E-4
123,198.01145681791024,6.359392140818874E-6,8.45005097950541E-4
124,197.98255847784446,6.276463199539278E-6,8.512815611500804E-4
