"","#treeName","pi_1","pi_2","pi_3","pi_4","r_1","r_2","r_3","r_4","r_5","r_6","alpha","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"1","sim--1929911413.msf.Rep0",0.251274906657327,0.235637128464824,0.215553580748939,0.215553580748939,0.154209098820558,0.181291468083077,0.166022191502494,0.178497941086151,0.170007453751904,0.149971846755815,3.12689931215111,7181,0.99995,1000,10,238,10,"100 100000 100 100000 100 100000"
"2","sim--1729964612.msf.Rep0",0.263399767318631,0.229492661833175,0.247483270011314,0.247483270011314,0.163666132237095,0.181567591304829,0.16780682729087,0.16169822757562,0.147419454771834,0.177841766819752,1.29992681580718,7181,0.99995,1000,10,267,10,"100 100000 100 100000 100 100000"
"3","sim--1962753822.msf.Rep0",0.244810481572178,0.246614653073156,0.241177568813265,0.241177568813265,0.17080701003768,0.161517176392634,0.152632802455095,0.141618767474858,0.19650650604822,0.176917737591513,2.28797463741202,7181,0.99995,1000,10,295,10,"100 100000 100 100000 100 100000"
"4","sim-1213578408.msf.Rep0",0.228418693784712,0.204289732637678,0.27426557613641,0.27426557613641,0.172427151116511,0.139951748846467,0.169411008581186,0.160143532589319,0.156659128642097,0.201407430224419,2.77540853307323,7181,0.99995,1000,10,220,10,"100 100000 100 100000 100 100000"
"5","sim-1361979937.msf.Rep0",0.251161831781612,0.283661015280349,0.261672315356987,0.261672315356987,0.175903409552231,0.15591420720364,0.147254285586747,0.188361152218092,0.15258660447167,0.17998034096762,10.2015643942205,7181,0.99995,1000,10,297,10,"100 100000 100 100000 100 100000"
"6","sim--300386943.msf.Rep0",0.2328267225665,0.294355138540804,0.227085756002871,0.227085756002871,0.149059197882829,0.207279134527775,0.15761761252341,0.160519856597409,0.176899734431061,0.148624464037517,15.4368391555021,7181,0.99995,1000,10,298,10,"100 100000 100 100000 100 100000"
"7","sim--636266697.msf.Rep0",0.295348820612468,0.223945922956355,0.234340714697042,0.234340714697042,0.152690193963787,0.154911907138795,0.181931540610137,0.171001360395944,0.164013308758385,0.175451689132953,2.61788506220655,7181,0.99995,1000,10,230,10,"100 100000 100 100000 100 100000"
"8","sim--681577682.msf.Rep0",0.245703230580672,0.223978259815851,0.278138357896965,0.278138357896965,0.161422248675593,0.165362559680692,0.167301499404372,0.153501781836746,0.162340564168354,0.190071346234243,4.47932041292002,7181,0.99995,1000,10,245,10,"100 100000 100 100000 100 100000"
"9","sim-1304200377.msf.Rep0",0.23829472700624,0.243971151592131,0.255847240933139,0.255847240933139,0.163539068683476,0.170305524596524,0.152964540098153,0.189216515085941,0.170355584903072,0.153618766632834,17.0264043207839,7181,0.99995,1000,10,250,10,"100 100000 100 100000 100 100000"
"10","sim--1050299845.msf.Rep0",0.288134803931777,0.238242176572891,0.246986115556506,0.246986115556506,0.183194746192307,0.171639666432312,0.17379951014741,0.159178322403637,0.145236091090786,0.166951663733548,0.560284482114186,7181,0.99995,1000,10,206,10,"100 100000 100 100000 100 100000"
"11","sim--2053375791.msf.Rep0",0.228681001188527,0.261002400625124,0.245386531080501,0.245386531080501,0.156100916207698,0.17055917089068,0.184040466746128,0.165518012552888,0.169250961034017,0.154530472568589,5.82655143609167,7181,0.99995,1000,10,265,10,"100 100000 100 100000 100 100000"
"12","sim--481630881.msf.Rep0",0.236090820276696,0.231080058212556,0.24489769261449,0.24489769261449,0.145502797026773,0.183991717011688,0.150676488236317,0.180006824102898,0.185542498390241,0.154279675232083,1.60057984840614,7181,0.99995,1000,10,278,10,"100 100000 100 100000 100 100000"
"13","sim--34755324.msf.Rep0",0.248346238674716,0.256769266338801,0.204986311057628,0.204986311057628,0.158482606386759,0.210314500983365,0.16729618739314,0.153543324257996,0.147094564829137,0.163268816149603,2.150137031229,7181,0.99995,1000,10,241,10,"100 100000 100 100000 100 100000"
"14","sim--1128453239.msf.Rep0",0.244938062561371,0.255310040536659,0.238916217682596,0.238916217682596,0.155935536807364,0.150704844310624,0.193830369638985,0.168642361885158,0.169139793909357,0.161747093448513,3.82701363871673,7181,0.99995,1000,10,282,10,"100 100000 100 100000 100 100000"
"15","sim--1406553433.msf.Rep0",0.25204675431674,0.238997367041109,0.25635350581233,0.25635350581233,0.164919630684715,0.16444000274505,0.153436548203269,0.173368772004683,0.169921939914423,0.173913106447861,4.94230305622,7181,0.99995,1000,10,261,10,"100 100000 100 100000 100 100000"
"16","sim--1004988861.msf.Rep0",0.251288286503112,0.229869684619145,0.251511906594413,0.251511906594413,0.168615663392266,0.156655132895809,0.168765322242272,0.173633495011778,0.151657388230674,0.180672998227201,13.3459352070998,7181,0.99995,1000,10,251,10,"100 100000 100 100000 100 100000"
"17","sim-1026100182.msf.Rep0",0.231731417964499,0.217136374816589,0.304020401023869,0.304020401023869,0.183674125754442,0.175396182803416,0.177758052496332,0.153482403813116,0.147310746043681,0.162378489089014,7.4802505319083,7181,0.99995,1000,10,229,10,"100 100000 100 100000 100 100000"
"18","sim--2098686776.msf.Rep0",0.282954105487378,0.243942346259161,0.204209154862528,0.204209154862528,0.157053297894313,0.157865328150212,0.163271241279114,0.154512413050852,0.173191757923902,0.194105961701607,3.31434895500403,7181,0.99995,1000,10,284,10,"100 100000 100 100000 100 100000"
"19","sim--1697122203.msf.Rep0",0.237532230324815,0.262948412385002,0.260502633772347,0.260502633772347,0.17749294824003,0.161880671739767,0.137624646413086,0.175783736121945,0.161243145881233,0.185974851603939,2.89651227679922,7181,0.99995,1000,10,242,10,"100 100000 100 100000 100 100000"
"20","sim-1180735999.msf.Rep0",0.270763169973975,0.251864241044622,0.215367681824699,0.215367681824699,0.173741406451483,0.166651809881548,0.158764983694859,0.152288223680266,0.180775102554647,0.167778473737197,5.73764452923367,7181,0.99995,1000,10,277,10,"100 100000 100 100000 100 100000"
"21","sim--2020533382.msf.Rep0",0.256198563610095,0.285154559482553,0.202905262640543,0.202905262640543,0.189462172501835,0.145771523823322,0.168477979164496,0.157323239908373,0.164355246962,0.174609837639974,3.24234703974601,7181,0.99995,1000,10,240,10,"100 100000 100 100000 100 100000"
"22","sim-669846594.msf.Rep0",0.246700940745516,0.230605879427903,0.258620521008766,0.258620521008766,0.166101495004989,0.153325106375785,0.152050415438973,0.165367384363776,0.187008467723272,0.176147131093204,12.7078458429697,7181,0.99995,1000,10,288,10,"100 100000 100 100000 100 100000"
"23","sim-255813446.msf.Rep0",0.250296801731756,0.249821356144584,0.24928503050312,0.24928503050312,0.18218369593943,0.148504572408311,0.161301866413979,0.15915402018366,0.17366834490687,0.17518750014775,4.56704547905686,7181,0.99995,1000,10,264,10,"100 100000 100 100000 100 100000"
"24","sim--1328400040.msf.Rep0",0.243532849863576,0.293980656194927,0.206307435638875,0.206307435638875,0.179753048748749,0.151941232476776,0.157650434445852,0.148769573763951,0.184630250800088,0.177255459764584,6.25747873328755,7181,0.99995,1000,10,249,10,"100 100000 100 100000 100 100000"
