"","treeName","modelByASMC","modelBySS"
"66","sim-1180735999.msf.Rep0","ANNEALINGEvolK2P","SSJC"
"67","sim--112908717.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"68","sim--358166503.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"69","sim-1872869341.msf.Rep0","ANNEALINGEvolK2P","SSJC"
"70","sim--391008912.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"71","sim--448788472.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"72","sim--312855518.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"73","sim-533913641.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"74","sim-1168267423.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"75","sim-1349511361.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"76","sim-935478213.msf.Rep0","ANNEALINGEvolK2P","SSJC"
"77","sim-669846594.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"78","sim-980789198.msf.Rep0","ANNEALINGJC","SSEvolK2P"
"79","sim-255813446.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"80","sim-612067034.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"81","sim-346435415.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"82","sim-288655855.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"83","sim-521445065.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"84","sim-844856244.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"85","sim-657378019.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"86","sim-165191477.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"87","sim--34755324.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"88","sim--67597733.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"89","sim-702689003.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"90","sim-198033886.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"91","sim-210502462.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"92","sim-579224625.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"93","sim-857324820.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"94","sim-993257773.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"95","sim-379277824.msf.Rep0","ANNEALINGEvolGTR","SSEvolK2P"
"96","sim-333966840.msf.Rep0","ANNEALINGJC","SSEvolK2P"
"97","sim-10555661.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"98","sim-55866645.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"99","sim-902635804.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"100","sim-23024236.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
