"X.Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time"
"ANNEALING","true",0,5560,1000,0,"ConsensusLogLL",-28049.7984397675,"sim-1121221206.msf",6397805
"ANNEALING","true",0,5560,1000,0,"BestSampledLogLL",-28058.3928811289,"sim-1121221206.msf",6397805
"ANNEALING","true",0,5560,1000,0,"PartitionMetric",0,"sim-1121221206.msf",6397805
"ANNEALING","true",0,5560,1000,0,"RobinsonFouldsMetric",0.397221157050681,"sim-1121221206.msf",6397805
"ANNEALING","true",0,5560,1000,0,"KuhnerFelsenstein",0.00619897064508261,"sim-1121221206.msf",6397805
"ANNEALING","false",0,5560,1000,0,"ConsensusLogLL",-28045.7867155274,"sim-1121221206.msf",6313247
"ANNEALING","false",0,5560,1000,0,"BestSampledLogLL",-28065.2779887889,"sim-1121221206.msf",6313247
"ANNEALING","false",0,5560,1000,0,"PartitionMetric",0,"sim-1121221206.msf",6313247
"ANNEALING","false",0,5560,1000,0,"RobinsonFouldsMetric",0.376191327262319,"sim-1121221206.msf",6313247
"ANNEALING","false",0,5560,1000,0,"KuhnerFelsenstein",0.00454862477935485,"sim-1121221206.msf",6313247
"ANNEALING","true",0,5473,1000,1,"ConsensusLogLL",-28045.9916616802,"sim-1121221206.msf",6244871
"ANNEALING","true",0,5473,1000,1,"BestSampledLogLL",-28065.8454113624,"sim-1121221206.msf",6244871
"ANNEALING","true",0,5473,1000,1,"PartitionMetric",0,"sim-1121221206.msf",6244871
"ANNEALING","true",0,5473,1000,1,"RobinsonFouldsMetric",0.398866078894383,"sim-1121221206.msf",6244871
"ANNEALING","true",0,5473,1000,1,"KuhnerFelsenstein",0.00503912085016809,"sim-1121221206.msf",6244871
"ANNEALING","false",0,5473,1000,1,"ConsensusLogLL",-28047.0305323245,"sim-1121221206.msf",6210525
"ANNEALING","false",0,5473,1000,1,"BestSampledLogLL",-28061.8829232882,"sim-1121221206.msf",6210525
"ANNEALING","false",0,5473,1000,1,"PartitionMetric",0,"sim-1121221206.msf",6210525
"ANNEALING","false",0,5473,1000,1,"RobinsonFouldsMetric",0.378235588414851,"sim-1121221206.msf",6210525
"ANNEALING","false",0,5473,1000,1,"KuhnerFelsenstein",0.00496216370939843,"sim-1121221206.msf",6210525
"ANNEALING","true",0,5495,1000,2,"ConsensusLogLL",-28053.4880816706,"sim-1121221206.msf",6273005
"ANNEALING","true",0,5495,1000,2,"BestSampledLogLL",-28063.6041275812,"sim-1121221206.msf",6273005
"ANNEALING","true",0,5495,1000,2,"PartitionMetric",0,"sim-1121221206.msf",6273005
