#treeName,Method,NumericalLogZ,logZ
sim-659101652.msf.Rep0,MCMC,NA,0.0
sim-659101652.msf.Rep0,LIS,NA,-2295.354786505789
sim-659101652.msf.Rep0,SS,NA,-2298.4193132575006
sim-659101652.msf.Rep1,MCMC,NA,0.0
sim-659101652.msf.Rep1,LIS,NA,-2292.8351322776416
sim-659101652.msf.Rep1,SS,NA,-2299.124607613877
sim-659101652.msf.Rep2,MCMC,NA,0.0
sim-659101652.msf.Rep2,LIS,NA,-2299.4818465558237
sim-659101652.msf.Rep2,SS,NA,-2298.093436042649
sim-659101652.msf.Rep3,MCMC,NA,0.0
sim-659101652.msf.Rep3,LIS,NA,-2288.706552084105
sim-659101652.msf.Rep3,SS,NA,-2298.4778600266586
sim-659101652.msf.Rep4,MCMC,NA,0.0
sim-659101652.msf.Rep4,LIS,NA,-2293.5401949315974
sim-659101652.msf.Rep4,SS,NA,-2288.1943482040465
sim-659101652.msf.Rep5,MCMC,NA,0.0
sim-659101652.msf.Rep5,LIS,NA,-2290.677457991586
sim-659101652.msf.Rep5,SS,NA,-2294.321750158444
sim-659101652.msf.Rep6,MCMC,NA,0.0
sim-659101652.msf.Rep6,LIS,NA,-2285.081813646526
sim-659101652.msf.Rep6,SS,NA,-2294.039825255285
sim-659101652.msf.Rep7,MCMC,NA,0.0
sim-659101652.msf.Rep7,LIS,NA,-2294.4056214713933
sim-659101652.msf.Rep7,SS,NA,-2305.846574233421
sim-659101652.msf.Rep8,MCMC,NA,0.0
sim-659101652.msf.Rep8,LIS,NA,-2292.3899819235744
sim-659101652.msf.Rep8,SS,NA,-2300.1769574882755
sim-659101652.msf.Rep9,MCMC,NA,0.0
sim-659101652.msf.Rep9,LIS,NA,-2296.3078306118637
sim-659101652.msf.Rep9,SS,NA,-2299.657687119426
sim-659101652.msf.Rep10,MCMC,NA,0.0
sim-659101652.msf.Rep10,LIS,NA,-2292.5419182823425
sim-659101652.msf.Rep10,SS,NA,-2301.450679095555
sim-659101652.msf.Rep11,MCMC,NA,0.0
sim-659101652.msf.Rep11,LIS,NA,-2300.345594799042
sim-659101652.msf.Rep11,SS,NA,-2298.592370828699
sim-659101652.msf.Rep12,MCMC,NA,0.0
sim-659101652.msf.Rep12,LIS,NA,-2301.159311738994
sim-659101652.msf.Rep12,SS,NA,-2291.6954464160194
sim-659101652.msf.Rep13,MCMC,NA,0.0
sim-659101652.msf.Rep13,LIS,NA,-2283.469894277419
sim-659101652.msf.Rep13,SS,NA,-2301.576838080108
sim-659101652.msf.Rep14,MCMC,NA,0.0
sim-659101652.msf.Rep14,LIS,NA,-2289.4574084236324
sim-659101652.msf.Rep14,SS,NA,-2301.695396806446
sim-659101652.msf.Rep15,MCMC,NA,0.0
sim-659101652.msf.Rep15,LIS,NA,-2287.9468597485234
sim-659101652.msf.Rep15,SS,NA,-2311.0435144117782
sim-659101652.msf.Rep16,MCMC,NA,0.0
sim-659101652.msf.Rep16,LIS,NA,-2291.7664487027882
sim-659101652.msf.Rep16,SS,NA,-2293.8132024554784
sim-659101652.msf.Rep17,MCMC,NA,0.0
sim-659101652.msf.Rep17,LIS,NA,-2296.8750835938167
sim-659101652.msf.Rep17,SS,NA,-2295.256381601307
sim-659101652.msf.Rep18,MCMC,NA,0.0
sim-659101652.msf.Rep18,LIS,NA,-2291.681097114971
sim-659101652.msf.Rep18,SS,NA,-2289.061244541968
sim-659101652.msf.Rep19,MCMC,NA,0.0
sim-659101652.msf.Rep19,LIS,NA,-2293.963455080201
sim-659101652.msf.Rep19,SS,NA,-2298.82201519543
