#treeName,Method,NumericalLogZ,logZ
sim-1983759278.msf.Rep0,Adaptive,0.0,-2702.0708596405816
sim-1983759278.msf.Rep0,Deterministic,0.0,-2701.0061844798897
sim-1983759278.msf.Rep1,Adaptive,0.0,-2701.6773045129908
sim-1983759278.msf.Rep1,Deterministic,0.0,-2701.25689378802
sim-1983759278.msf.Rep2,Adaptive,0.0,-2700.6143543717767
sim-1983759278.msf.Rep2,Deterministic,0.0,-2699.8653929954485
sim-1983759278.msf.Rep3,Adaptive,0.0,-2702.790024186882
sim-1983759278.msf.Rep3,Deterministic,0.0,-2700.4083284476114
sim-1983759278.msf.Rep4,Adaptive,0.0,-2701.850613175776
sim-1983759278.msf.Rep4,Deterministic,0.0,-2701.14511153447
sim-1983759278.msf.Rep5,Adaptive,0.0,-2702.0016743431097
sim-1983759278.msf.Rep5,Deterministic,0.0,-2700.649374300537
sim-1983759278.msf.Rep6,Adaptive,0.0,-2700.472150591488
sim-1983759278.msf.Rep6,Deterministic,0.0,-2699.33144831819
sim-1983759278.msf.Rep7,Adaptive,0.0,-2700.296582126849
sim-1983759278.msf.Rep7,Deterministic,0.0,-2701.329246805441
sim-1983759278.msf.Rep8,Adaptive,0.0,-2703.164191231765
sim-1983759278.msf.Rep8,Deterministic,0.0,-2701.980787243293
sim-1983759278.msf.Rep9,Adaptive,0.0,-2702.3269121185895
sim-1983759278.msf.Rep9,Deterministic,0.0,-2701.538030127362
sim-1983759278.msf.Rep10,Adaptive,0.0,-2702.6942944213415
sim-1983759278.msf.Rep10,Deterministic,0.0,-2701.5438680432394
sim-1983759278.msf.Rep11,Adaptive,0.0,-2699.7501903171346
sim-1983759278.msf.Rep11,Deterministic,0.0,-2700.9983899304443
sim-1983759278.msf.Rep12,Adaptive,0.0,-2701.8149871549626
sim-1983759278.msf.Rep12,Deterministic,0.0,-2702.00193413377
sim-1983759278.msf.Rep13,Adaptive,0.0,-2701.3796465900173
sim-1983759278.msf.Rep13,Deterministic,0.0,-2701.3288251502822
sim-1983759278.msf.Rep14,Adaptive,0.0,-2702.0081192987564
sim-1983759278.msf.Rep14,Deterministic,0.0,-2700.5712204617626
sim-1983759278.msf.Rep15,Adaptive,0.0,-2702.5870474351063
sim-1983759278.msf.Rep15,Deterministic,0.0,-2700.284102869491
sim-1983759278.msf.Rep16,Adaptive,0.0,-2700.893582544325
sim-1983759278.msf.Rep16,Deterministic,0.0,-2701.4058864931767
sim-1983759278.msf.Rep17,Adaptive,0.0,-2701.1400758426307
sim-1983759278.msf.Rep17,Deterministic,0.0,-2700.2446827291883
sim-1983759278.msf.Rep18,Adaptive,0.0,-2701.08519953003
sim-1983759278.msf.Rep18,Deterministic,0.0,-2700.1122463617808
sim-1983759278.msf.Rep19,Adaptive,0.0,-2701.1402423862355
sim-1983759278.msf.Rep19,Deterministic,0.0,-2700.407584061364
