"","treeName","modelByASMC","modelBySS"
"1","sim--1872131854.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"2","sim--1179998511.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"3","sim--1503409690.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"4","sim--1917442838.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"5","sim--1225309495.msf.Rep0","ANNEALINGJC","SSJC"
"6","sim--1594031659.msf.Rep0","ANNEALINGJC","SSEvolK2P"
"7","sim--2008064807.msf.Rep0","ANNEALINGEvolGTR","SSEvolK2P"
"8","sim--1361242449.msf.Rep0","ANNEALINGEvolGTR","SSEvolK2P"
"9","sim--1826820869.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"10","sim--1037831270.msf.Rep0","ANNEALINGJC","SSEvolK2P"
"11","sim--1684653628.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"12","sim--947209301.msf.Rep0","ANNEALINGEvolGTR","SSEvolK2P"
"13","sim--901898316.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"14","sim--345697927.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"15","sim-1730702100.msf.Rep0","ANNEALINGJC","SSEvolK2P"
"16","sim--856587332.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"17","sim-1640080131.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"18","sim-1038568758.msf.Rep0","ANNEALINGJC","SSEvolK2P"
"19","sim-1963491310.msf.Rep0","ANNEALINGJC","SSEvolK2P"
"20","sim--209764974.msf.Rep0","ANNEALINGJC","SSJC"
"21","sim-1316668952.msf.Rep0","ANNEALINGJC","SSEvolK2P"
"22","sim-2054113279.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"23","sim-2144735248.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"24","sim-1452601905.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"25","sim--992520285.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"26","sim--714420091.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"27","sim-1083879742.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"28","sim--533176153.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"29","sim--669109106.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"30","sim-1271357968.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"31","sim-1129190726.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"32","sim--255075958.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"33","sim--578487137.msf.Rep0","ANNEALINGJC","SSJC"
"34","sim--164453990.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"35","sim-1407290921.msf.Rep0","ANNEALINGEvolGTR","SSEvolK2P"
"36","sim-1776013084.msf.Rep0","ANNEALINGJC","SSEvolK2P"
"37","sim-2099424263.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"38","sim-805779547.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"39","sim-624535610.msf.Rep0","ANNEALINGJC","SSEvolK2P"
"40","sim-482368368.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"41","sim-947946789.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"42","sim-158957189.msf.Rep0","ANNEALINGEvolGTR","SSEvolK2P"
"43","sim-301124431.msf.Rep0","ANNEALINGJC","SSJC"
"44","sim-437057384.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"45","sim--22286748.msf.Rep0","ANNEALINGEvolGTR","SSEvolGTR"
"46","sim-715157579.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
"47","sim-391746400.msf.Rep0","ANNEALINGEvolGTR","SSEvolK2P"
"48","sim-760468563.msf.Rep0","ANNEALINGJC","SSEvolK2P"
"49","sim-113646205.msf.Rep0","ANNEALINGJC","SSJC"
"50","sim-68335221.msf.Rep0","ANNEALINGEvolK2P","SSEvolK2P"
