#t,ESS,tempDiff,temp
0,100.00000000000006,0.0,0.0
1,98.9999999999338,4.623382241034051E-5,4.623382241034051E-5
2,96.04272680946085,4.568383273177134E-5,9.191765514211185E-5
3,91.25582974471298,4.5557377757736886E-5,1.3747503289984872E-4
4,84.84373992608582,4.5583420407718885E-5,1.830584533075676E-4
5,77.08785065328561,4.523943100883737E-5,2.28297884316405E-4
6,68.04727599642317,4.127080186776948E-5,2.6956868618417445E-4
7,58.20035031562173,4.020389067220293E-5,3.097725768563774E-4
8,48.200454735255185,3.89164820666441E-5,3.4868905892302147E-4
9,98.99999999999987,3.652944753425103E-5,3.852185064572725E-4
10,95.95596938834103,3.628287103557356E-5,4.21501377492846E-4
11,90.91261793006284,3.497185167355803E-5,4.5647322916640405E-4
12,84.15948349052957,3.3759907554314116E-5,4.902331367207182E-4
13,76.21018455739093,3.2896445577835254E-5,5.231295822985534E-4
14,67.70644905765305,3.246723510051839E-5,5.555968173990718E-4
15,59.25238490601698,3.198261751221056E-5,5.875794349112824E-4
16,51.313261383412645,3.2282424732700894E-5,6.198618596439833E-4
17,44.18837049030536,3.276705265374675E-5,6.5262891229773E-4
18,98.99999999999997,3.2188977915528677E-5,6.848178902132587E-4
19,96.16456310513023,3.290742750332182E-5,7.177253177165805E-4
20,91.87974637343315,3.393357538472567E-5,7.516588931013061E-4
21,86.63963548991745,3.592129802622295E-5,7.87580191127529E-4
22,80.90848716718381,3.8365558894649585E-5,8.259457500221786E-4
23,75.07305944160142,3.995722474465815E-5,8.659029747668368E-4
24,69.3834729919184,4.290598550000533E-5,9.088089602668422E-4
25,64.01640137939015,4.658496376473483E-5,9.55393924031577E-4
26,59.0524646584566,5.00854689805928E-5,0.0010054793930121698
27,54.40083327061919,5.392800986884954E-5,0.0010594074028810194
28,50.03080849131753,5.928227202305329E-5,0.0011186896749040727
29,45.90907794911593,6.373678475525626E-5,0.001182426459659329
30,98.99999999999932,9.657647646462243E-5,0.0012790029361239514
31,96.29232686424537,9.71261929427343E-5,0.0013761291290666857
32,92.0383442691762,9.698728538600758E-5,0.0014731164144526933
33,86.53513591373854,9.827869732960413E-5,0.0015713951117822973
34,80.1719883295406,1.0050875755796115E-4,0.0016719038693402584
35,73.33354808241519,1.0394595992311183E-4,0.0017758498292633701
36,66.10912935055558,1.064560394674706E-4,0.0018823058687308407
37,58.93122502349399,1.0586342668172841E-4,0.001988169295412569
38,52.11028927852208,1.1578919355536222E-4,0.002103958488967931
39,45.827060407068316,1.1723639842470363E-4,0.0022211948873926348
40,99.00000000000001,1.2099609845042792E-4,0.0023421909858430626
41,96.19306175885671,1.2027806782893351E-4,0.0024624690536719962
42,91.87957025575903,1.2302468787292933E-4,0.0025854937415449256
43,86.36813199854252,1.2013630426148481E-4,0.0027056300458064104
44,79.89909546489183,1.2208949424389153E-4,0.002827719540050302
45,72.88072779344743,1.2652419543699142E-4,0.0029542437354872935
46,65.5582300277735,1.277472005545427E-4,0.0030819909360418362
47,58.3277283692728,1.2876196718205417E-4,0.0032107529032238905
48,51.51797744069285,1.2949381186013438E-4,0.003340246715084025
