#t,ESS,tempDiff,temp
0,200.00000000000065,0.0,0.0
1,199.99978620388282,6.037337434558744E-6,6.037337434558744E-6
2,199.99914208844248,6.1406110655226735E-6,1.2177948500081417E-5
3,199.99806761355404,6.170475251735898E-6,1.8348423751817315E-5
4,199.99654814183023,6.274171238426184E-6,2.46225949902435E-5
5,199.99454981545344,6.33688786488158E-6,3.095948285512508E-5
6,199.99203665294974,6.363676920148028E-6,3.7323159775273105E-5
7,199.98905929807395,6.361134013629659E-6,4.368429378890276E-5
8,199.98567003650948,6.281373697442821E-6,4.996566748634558E-5
9,199.98188943856934,6.165733872856748E-6,5.613140135920233E-5
10,199.97765695229089,6.197570718570837E-6,6.232897207777317E-5
11,199.9729768677486,6.2484350385457565E-6,6.857740711631892E-5
12,199.9678946682456,6.1613068183207525E-6,7.473871393463967E-5
13,199.96244369910036,6.165232228282687E-6,8.090394616292235E-5
14,199.95646542532256,6.253746827434139E-6,8.715769299035648E-5
15,199.95016968954775,6.204135714871591E-6,9.336182870522807E-5
16,199.94336043815665,6.343993493444247E-6,9.970582219867233E-5
17,199.93592263077085,6.373578794369244E-6,1.0607940099304157E-4
18,199.9282252786471,6.3362130662098035E-6,1.1241561405925138E-4
19,199.9202430108245,6.308680404465882E-6,1.1872429446371725E-4
20,199.91169167072843,6.378055953458052E-6,1.251023504171753E-4
21,199.90277641772178,6.274477847321845E-6,1.3137682826449713E-4
22,199.89364267725537,6.2685169679244675E-6,1.376453452324216E-4
23,199.88387814718487,6.399889571241547E-6,1.4404523480366315E-4
24,199.8734534465122,6.4615965005398265E-6,1.5050683130420298E-4
25,199.8625702521159,6.642323569289363E-6,1.5714915487349235E-4
26,199.85142507387647,6.559816571288868E-6,1.637089714447812E-4
27,199.8396648148951,6.619599827391148E-6,1.7032857127217236E-4
28,199.82775453906177,6.54204247597311E-6,1.7687061374814546E-4
29,199.81553490872662,6.5190082310594715E-6,1.8338962197920493E-4
30,199.803380522093,6.352832986186657E-6,1.897424549653916E-4
31,199.79077746379028,6.319361740572348E-6,1.9606181670596396E-4
32,199.77745064567412,6.419249526039287E-6,2.0248106623200324E-4
33,199.7638508742342,6.485941675561873E-6,2.0896700790756513E-4
34,199.7498047597605,6.431649186597977E-6,2.153986570941631E-4
35,199.7353516740532,6.4235998952704465E-6,2.2182225698943355E-4
36,199.7210256886492,6.277382333106836E-6,2.2809963932254038E-4
37,199.70652764720046,6.2349470836849075E-6,2.3433458640622528E-4
38,199.69187212078165,6.139072392849684E-6,2.4047365879907497E-4
39,199.6764793719998,6.202595075413659E-6,2.4667625387448863E-4
40,199.6609947514664,6.18447863764021E-6,2.5286073251212885E-4
41,199.64499269183838,6.281929018194522E-6,2.591426615303234E-4
42,199.6291217129112,6.172414862579673E-6,2.6531507639290303E-4
43,199.61255685546243,6.207134506472322E-6,2.7152221089937534E-4
44,199.59550056659626,6.170765555647384E-6,2.776929764550227E-4
45,199.57757994420817,6.189057265287289E-6,2.8388203372030997E-4
46,199.55952441890406,6.153335637514558E-6,2.900353693578245E-4
47,199.54083897762558,6.13053746060769E-6,2.961659068184322E-4
48,199.5215381988056,6.175231397009527E-6,3.023411382154417E-4
49,199.5017201820294,6.213690591692433E-6,3.0855482880713414E-4
50,199.4812213376721,6.241667179491079E-6,3.147964959866252E-4
51,199.46019138569122,6.208349214264046E-6,3.2100484520088926E-4
52,199.43862252253905,6.207918617134605E-6,3.2721276381802387E-4
53,199.41736968154717,6.189275932294481E-6,3.3340203975031833E-4
54,199.39535363599126,6.224013357607755E-6,3.396260531079261E-4
55,199.37222491516673,6.330244440193476E-6,3.4595629754811957E-4
56,199.34940589868606,6.23289841140151E-6,3.5218919595952106E-4
57,199.32637131975434,6.2983925916515975E-6,3.5848758855117264E-4
58,199.3029759512379,6.288731754031208E-6,3.6477632030520383E-4
59,199.2802573795773,6.09733009709037E-6,3.708736504022942E-4
60,199.25725838339764,6.152809469301399E-6,3.7702645987159564E-4
61,199.23436040759168,6.201913273474993E-6,3.832283731450706E-4
62,199.2110569749993,6.255705674161003E-6,3.8948407881923163E-4
63,199.18788614733322,6.250340947045414E-6,3.9573441976627704E-4
64,199.16421269935427,6.322219928195754E-6,4.0205663969447277E-4
65,199.13982419767737,6.376372922046444E-6,4.084330126165192E-4
66,199.1155639678373,6.267041603495358E-6,4.1470005422001454E-4
67,199.09068875017027,6.325738398135347E-6,4.210257926181499E-4
68,199.06487193758662,6.446340053920329E-6,4.274721326720702E-4
69,199.03833635779307,6.483056970111394E-6,4.339551896421816E-4
70,199.01162535588261,6.407178777363244E-6,4.4036236841954484E-4
71,198.98426283772423,6.398824980637004E-6,4.4676119340018183E-4
72,198.9565628526311,6.3545017831497665E-6,4.531156951833316E-4
73,198.928271525736,6.338774699328263E-6,4.594544698826599E-4
74,198.8998356672484,6.262984051964217E-6,4.657174539346241E-4
75,198.87143220979064,6.216772837537695E-6,4.719342267721618E-4
76,198.84258526274542,6.252662508206608E-6,4.781868892803684E-4
77,198.81386536577048,6.1994773583723344E-6,4.843863666387407E-4
78,198.78438643441854,6.177619972736351E-6,4.90563986611477E-4
79,198.75503337151576,6.213772457462838E-6,4.967777590689399E-4
80,198.72570639680234,6.222649778385009E-6,5.030004088473249E-4
81,198.69676790814205,6.208996484576121E-6,5.09209405331901E-4
82,198.6680741483873,6.211426338991914E-6,5.154208316708929E-4
83,198.63916194539863,6.191986071478875E-6,5.216128177423718E-4
84,198.61017471594317,6.189938302009576E-6,5.278027560443814E-4
