#treeName,Method,NumericalLogZ,logZ
sim-160363572.msf.Rep0,MCMC,NA,0.0
sim-160363572.msf.Rep0,LIS,NA,-2817.938661169437
sim-160363572.msf.Rep0,SS,NA,-2780.24218621554
sim-160363572.msf.Rep1,MCMC,NA,0.0
sim-160363572.msf.Rep1,LIS,NA,-2774.7903447902936
sim-160363572.msf.Rep1,SS,NA,-2804.836413320842
sim-160363572.msf.Rep2,MCMC,NA,0.0
sim-160363572.msf.Rep2,LIS,NA,-2777.463254260626
sim-160363572.msf.Rep2,SS,NA,-2783.3445611137467
sim-160363572.msf.Rep3,MCMC,NA,0.0
sim-160363572.msf.Rep3,LIS,NA,-2767.2881732787205
sim-160363572.msf.Rep3,SS,NA,-2769.766638053538
sim-160363572.msf.Rep4,MCMC,NA,0.0
sim-160363572.msf.Rep4,LIS,NA,-2771.0832239390747
sim-160363572.msf.Rep4,SS,NA,-2781.6454993235793
sim-160363572.msf.Rep5,MCMC,NA,0.0
sim-160363572.msf.Rep5,LIS,NA,-2774.9084496118157
sim-160363572.msf.Rep5,SS,NA,-2792.6622141076555
sim-160363572.msf.Rep6,MCMC,NA,0.0
sim-160363572.msf.Rep6,LIS,NA,-2787.5915865391476
sim-160363572.msf.Rep6,SS,NA,-2763.257127616063
sim-160363572.msf.Rep7,MCMC,NA,0.0
sim-160363572.msf.Rep7,LIS,NA,-2781.3965661619927
sim-160363572.msf.Rep7,SS,NA,-2786.22028193879
sim-160363572.msf.Rep8,MCMC,NA,0.0
sim-160363572.msf.Rep8,LIS,NA,-2748.7928790917454
sim-160363572.msf.Rep8,SS,NA,-2773.034652656547
sim-160363572.msf.Rep9,MCMC,NA,0.0
sim-160363572.msf.Rep9,LIS,NA,-2777.960063479953
sim-160363572.msf.Rep9,SS,NA,-2765.028025321922
sim-160363572.msf.Rep10,MCMC,NA,0.0
sim-160363572.msf.Rep10,LIS,NA,-2799.625953360286
sim-160363572.msf.Rep10,SS,NA,-2767.399036865423
sim-160363572.msf.Rep11,MCMC,NA,0.0
sim-160363572.msf.Rep11,LIS,NA,-2775.2983124933603
sim-160363572.msf.Rep11,SS,NA,-2804.7497106205574
sim-160363572.msf.Rep12,MCMC,NA,0.0
sim-160363572.msf.Rep12,LIS,NA,-2774.8422213713507
sim-160363572.msf.Rep12,SS,NA,-2797.428477524876
sim-160363572.msf.Rep13,MCMC,NA,0.0
sim-160363572.msf.Rep13,LIS,NA,-2799.2946786382054
sim-160363572.msf.Rep13,SS,NA,-2765.018436669665
sim-160363572.msf.Rep14,MCMC,NA,0.0
sim-160363572.msf.Rep14,LIS,NA,-2774.5923106076293
sim-160363572.msf.Rep14,SS,NA,-2778.8734275559864
sim-160363572.msf.Rep15,MCMC,NA,0.0
sim-160363572.msf.Rep15,LIS,NA,-2785.4252989423335
sim-160363572.msf.Rep15,SS,NA,-2771.8855192177816
sim-160363572.msf.Rep16,MCMC,NA,0.0
sim-160363572.msf.Rep16,LIS,NA,-2780.402715017291
sim-160363572.msf.Rep16,SS,NA,-2794.000489594777
sim-160363572.msf.Rep17,MCMC,NA,0.0
sim-160363572.msf.Rep17,LIS,NA,-2798.936559724519
sim-160363572.msf.Rep17,SS,NA,-2777.4106074044503
sim-160363572.msf.Rep18,MCMC,NA,0.0
sim-160363572.msf.Rep18,LIS,NA,-2781.505193413239
sim-160363572.msf.Rep18,SS,NA,-2782.7806682201817
sim-160363572.msf.Rep19,MCMC,NA,0.0
sim-160363572.msf.Rep19,LIS,NA,-2761.5811196068644
sim-160363572.msf.Rep19,SS,NA,-2790.7891777903865
