#treeName,Method,NumericalLogZ,logZ
sim--678403297.msf.Rep0,MCMC,NA,0.0
sim--678403297.msf.Rep0,LIS,NA,-2115.072336028298
sim--678403297.msf.Rep0,SS,NA,-2111.99964400599
sim--678403297.msf.Rep1,MCMC,NA,0.0
sim--678403297.msf.Rep1,LIS,NA,-2123.9100086068997
sim--678403297.msf.Rep1,SS,NA,-2116.2541862801895
sim--678403297.msf.Rep2,MCMC,NA,0.0
sim--678403297.msf.Rep2,LIS,NA,-2128.7599142964623
sim--678403297.msf.Rep2,SS,NA,-2113.1591424578487
sim--678403297.msf.Rep3,MCMC,NA,0.0
sim--678403297.msf.Rep3,LIS,NA,-2138.761780850319
sim--678403297.msf.Rep3,SS,NA,-2110.1533075345246
sim--678403297.msf.Rep4,MCMC,NA,0.0
sim--678403297.msf.Rep4,LIS,NA,-2108.307886645438
sim--678403297.msf.Rep4,SS,NA,-2131.1582075519514
sim--678403297.msf.Rep5,MCMC,NA,0.0
sim--678403297.msf.Rep5,LIS,NA,-2112.1120336630515
sim--678403297.msf.Rep5,SS,NA,-2116.421076611929
sim--678403297.msf.Rep6,MCMC,NA,0.0
sim--678403297.msf.Rep6,LIS,NA,-2107.1414609170292
sim--678403297.msf.Rep6,SS,NA,-2167.9396565932147
sim--678403297.msf.Rep7,MCMC,NA,0.0
sim--678403297.msf.Rep7,LIS,NA,-2125.800300553025
sim--678403297.msf.Rep7,SS,NA,-2129.420808867554
sim--678403297.msf.Rep8,MCMC,NA,0.0
sim--678403297.msf.Rep8,LIS,NA,-2116.859854439323
sim--678403297.msf.Rep8,SS,NA,-2111.6725005266853
sim--678403297.msf.Rep9,MCMC,NA,0.0
sim--678403297.msf.Rep9,LIS,NA,-2116.998047391209
sim--678403297.msf.Rep9,SS,NA,-2107.564825738739
sim--678403297.msf.Rep10,MCMC,NA,0.0
sim--678403297.msf.Rep10,LIS,NA,-2115.218847133781
sim--678403297.msf.Rep10,SS,NA,-2127.4871092674425
sim--678403297.msf.Rep11,MCMC,NA,0.0
sim--678403297.msf.Rep11,LIS,NA,-2128.6641214306137
sim--678403297.msf.Rep11,SS,NA,-2123.0248247448076
sim--678403297.msf.Rep12,MCMC,NA,0.0
sim--678403297.msf.Rep12,LIS,NA,-2114.3295650926434
sim--678403297.msf.Rep12,SS,NA,-2116.3500582724446
sim--678403297.msf.Rep13,MCMC,NA,0.0
sim--678403297.msf.Rep13,LIS,NA,-2124.0210003147813
sim--678403297.msf.Rep13,SS,NA,-2127.3579795617547
sim--678403297.msf.Rep14,MCMC,NA,0.0
sim--678403297.msf.Rep14,LIS,NA,-2116.4273876636244
sim--678403297.msf.Rep14,SS,NA,-2121.3630661245393
sim--678403297.msf.Rep15,MCMC,NA,0.0
sim--678403297.msf.Rep15,LIS,NA,-2131.420216758692
sim--678403297.msf.Rep15,SS,NA,-2116.9251254906626
sim--678403297.msf.Rep16,MCMC,NA,0.0
sim--678403297.msf.Rep16,LIS,NA,-2104.280551285981
sim--678403297.msf.Rep16,SS,NA,-2129.2916899170887
sim--678403297.msf.Rep17,MCMC,NA,0.0
sim--678403297.msf.Rep17,LIS,NA,-2115.268760149676
sim--678403297.msf.Rep17,SS,NA,-2108.0950282299755
sim--678403297.msf.Rep18,MCMC,NA,0.0
sim--678403297.msf.Rep18,LIS,NA,-2115.839249391519
sim--678403297.msf.Rep18,SS,NA,-2119.7077447743072
sim--678403297.msf.Rep19,MCMC,NA,0.0
sim--678403297.msf.Rep19,LIS,NA,-2113.0579977307334
sim--678403297.msf.Rep19,SS,NA,-2114.126158071749
