"X.Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time"
"ANNEALING","true",0,12266,1000,1,"ConsensusLogLL",-28044.2196875159,"sim-1121221206.msf",24425504
"ANNEALING","true",0,12266,1000,1,"BestSampledLogLL",-28060.563651005,"sim-1121221206.msf",24425504
"ANNEALING","true",0,12266,1000,1,"PartitionMetric",0,"sim-1121221206.msf",24425504
"ANNEALING","true",0,12266,1000,1,"RobinsonFouldsMetric",0.342243794513359,"sim-1121221206.msf",24425504
"ANNEALING","true",0,12266,1000,1,"KuhnerFelsenstein",0.00381446208693325,"sim-1121221206.msf",24425504
"ANNEALING","false",0,12266,1000,1,"ConsensusLogLL",-28044.1627490591,"sim-1121221206.msf",25927237
"ANNEALING","false",0,12266,1000,1,"BestSampledLogLL",-28061.9497041811,"sim-1121221206.msf",25927237
"ANNEALING","false",0,12266,1000,1,"PartitionMetric",0,"sim-1121221206.msf",25927237
"ANNEALING","false",0,12266,1000,1,"RobinsonFouldsMetric",0.352999642691047,"sim-1121221206.msf",25927237
"ANNEALING","false",0,12266,1000,1,"KuhnerFelsenstein",0.00432460380411594,"sim-1121221206.msf",25927237
"ANNEALING","true",0,12425,1000,2,"ConsensusLogLL",-28044.6195810792,"sim-1121221206.msf",18901698
"ANNEALING","true",0,12425,1000,2,"BestSampledLogLL",-28060.9415408758,"sim-1121221206.msf",18901698
"ANNEALING","true",0,12425,1000,2,"PartitionMetric",0,"sim-1121221206.msf",18901698
"ANNEALING","true",0,12425,1000,2,"RobinsonFouldsMetric",0.365736414743439,"sim-1121221206.msf",18901698
"ANNEALING","true",0,12425,1000,2,"KuhnerFelsenstein",0.00456234804747851,"sim-1121221206.msf",18901698
"ANNEALING","false",0,12425,1000,2,"ConsensusLogLL",-28043.9017734797,"sim-1121221206.msf",17533254
"ANNEALING","false",0,12425,1000,2,"BestSampledLogLL",-28060.2771217524,"sim-1121221206.msf",17533254
"ANNEALING","false",0,12425,1000,2,"PartitionMetric",0,"sim-1121221206.msf",17533254
"ANNEALING","false",0,12425,1000,2,"RobinsonFouldsMetric",0.351969255248082,"sim-1121221206.msf",17533254
"ANNEALING","false",0,12425,1000,2,"KuhnerFelsenstein",0.00421097450476072,"sim-1121221206.msf",17533254
"ANNEALING","true",0,12249,1000,3,"ConsensusLogLL",-28044.3878375155,"sim-1121221206.msf",14476982
"ANNEALING","true",0,12249,1000,3,"BestSampledLogLL",-28060.5089984498,"sim-1121221206.msf",14476982
"ANNEALING","true",0,12249,1000,3,"PartitionMetric",0,"sim-1121221206.msf",14476982
"ANNEALING","true",0,12249,1000,3,"RobinsonFouldsMetric",0.377163415729959,"sim-1121221206.msf",14476982
"ANNEALING","true",0,12249,1000,3,"KuhnerFelsenstein",0.00496733368233058,"sim-1121221206.msf",14476982
"ANNEALING","false",0,12249,1000,3,"ConsensusLogLL",-28044.1417991817,"sim-1121221206.msf",14760289
"ANNEALING","false",0,12249,1000,3,"BestSampledLogLL",-28058.3214298558,"sim-1121221206.msf",14760289
"ANNEALING","false",0,12249,1000,3,"PartitionMetric",0,"sim-1121221206.msf",14760289
"ANNEALING","false",0,12249,1000,3,"RobinsonFouldsMetric",0.347053708085257,"sim-1121221206.msf",14760289
"ANNEALING","false",0,12249,1000,3,"KuhnerFelsenstein",0.00414845272964743,"sim-1121221206.msf",14760289
"ANNEALING","true",0,12296,1000,0,"ConsensusLogLL",-28044.5319967718,"sim-1121221206.msf",16966073
"ANNEALING","true",0,12296,1000,0,"BestSampledLogLL",-28057.2270447078,"sim-1121221206.msf",16966073
"ANNEALING","true",0,12296,1000,0,"PartitionMetric",0,"sim-1121221206.msf",16966073
"ANNEALING","true",0,12296,1000,0,"RobinsonFouldsMetric",0.368914235751473,"sim-1121221206.msf",16966073
"ANNEALING","true",0,12296,1000,0,"KuhnerFelsenstein",0.00463976998645308,"sim-1121221206.msf",16966073
"ANNEALING","false",0,12296,1000,0,"ConsensusLogLL",-28043.8671913294,"sim-1121221206.msf",17180874
"ANNEALING","false",0,12296,1000,0,"BestSampledLogLL",-28060.7357359708,"sim-1121221206.msf",17180874
"ANNEALING","false",0,12296,1000,0,"PartitionMetric",0,"sim-1121221206.msf",17180874
"ANNEALING","false",0,12296,1000,0,"RobinsonFouldsMetric",0.346127176155008,"sim-1121221206.msf",17180874
"ANNEALING","false",0,12296,1000,0,"KuhnerFelsenstein",0.00426923271021667,"sim-1121221206.msf",17180874
"ANNEALING","true",0,12290,1000,1,"ConsensusLogLL",-28044.210653546,"sim-1121221206.msf",17752453
"ANNEALING","true",0,12290,1000,1,"BestSampledLogLL",-28058.8798220044,"sim-1121221206.msf",17752453
"ANNEALING","true",0,12290,1000,1,"PartitionMetric",0,"sim-1121221206.msf",17752453
"ANNEALING","true",0,12290,1000,1,"RobinsonFouldsMetric",0.355392157667742,"sim-1121221206.msf",17752453
"ANNEALING","true",0,12290,1000,1,"KuhnerFelsenstein",0.0039456878484564,"sim-1121221206.msf",17752453
"ANNEALING","false",0,12290,1000,1,"ConsensusLogLL",-28044.1168138815,"sim-1121221206.msf",18821424
"ANNEALING","false",0,12290,1000,1,"BestSampledLogLL",-28062.4076650533,"sim-1121221206.msf",18821424
"ANNEALING","false",0,12290,1000,1,"PartitionMetric",0,"sim-1121221206.msf",18821424
"ANNEALING","false",0,12290,1000,1,"RobinsonFouldsMetric",0.361622157667742,"sim-1121221206.msf",18821424
"ANNEALING","false",0,12290,1000,1,"KuhnerFelsenstein",0.00422650184151702,"sim-1121221206.msf",18821424
"ANNEALING","true",0,12269,1000,2,"ConsensusLogLL",-28044.1674315057,"sim-1121221206.msf",18790783
"ANNEALING","true",0,12269,1000,2,"BestSampledLogLL",-28062.0234181117,"sim-1121221206.msf",18790783
"ANNEALING","true",0,12269,1000,2,"PartitionMetric",0,"sim-1121221206.msf",18790783
"ANNEALING","true",0,12269,1000,2,"RobinsonFouldsMetric",0.340644534942355,"sim-1121221206.msf",18790783
"ANNEALING","true",0,12269,1000,2,"KuhnerFelsenstein",0.0038420268643841,"sim-1121221206.msf",18790783
"ANNEALING","false",0,12269,1000,2,"ConsensusLogLL",-28044.3762125586,"sim-1121221206.msf",16951442
"ANNEALING","false",0,12269,1000,2,"BestSampledLogLL",-28060.4402766653,"sim-1121221206.msf",16951442
"ANNEALING","false",0,12269,1000,2,"PartitionMetric",0,"sim-1121221206.msf",16951442
"ANNEALING","false",0,12269,1000,2,"RobinsonFouldsMetric",0.338138369416286,"sim-1121221206.msf",16951442
"ANNEALING","false",0,12269,1000,2,"KuhnerFelsenstein",0.00443546010299064,"sim-1121221206.msf",16951442
"ANNEALING","true",0,12258,1000,3,"ConsensusLogLL",-28044.1096972501,"sim-1121221206.msf",17524513
"ANNEALING","true",0,12258,1000,3,"BestSampledLogLL",-28061.8784998636,"sim-1121221206.msf",17524513
"ANNEALING","true",0,12258,1000,3,"PartitionMetric",0,"sim-1121221206.msf",17524513
"ANNEALING","true",0,12258,1000,3,"RobinsonFouldsMetric",0.343820866006944,"sim-1121221206.msf",17524513
"ANNEALING","true",0,12258,1000,3,"KuhnerFelsenstein",0.00408452050501466,"sim-1121221206.msf",17524513
"ANNEALING","false",0,12258,1000,3,"ConsensusLogLL",-28044.1350705846,"sim-1121221206.msf",17941786
"ANNEALING","false",0,12258,1000,3,"BestSampledLogLL",-28059.8431673323,"sim-1121221206.msf",17941786
"ANNEALING","false",0,12258,1000,3,"PartitionMetric",0,"sim-1121221206.msf",17941786
"ANNEALING","false",0,12258,1000,3,"RobinsonFouldsMetric",0.361329995677078,"sim-1121221206.msf",17941786
"ANNEALING","false",0,12258,1000,3,"KuhnerFelsenstein",0.00460178398896687,"sim-1121221206.msf",17941786
"ANNEALING","true",0,12200,1000,0,"ConsensusLogLL",-28044.1179755561,"sim-1121221206.msf",13766350
"ANNEALING","true",0,12200,1000,0,"BestSampledLogLL",-28059.1962239344,"sim-1121221206.msf",13766350
"ANNEALING","true",0,12200,1000,0,"PartitionMetric",0,"sim-1121221206.msf",13766350
"ANNEALING","true",0,12200,1000,0,"RobinsonFouldsMetric",0.3348272384337,"sim-1121221206.msf",13766350
"ANNEALING","true",0,12200,1000,0,"KuhnerFelsenstein",0.00365780163058494,"sim-1121221206.msf",13766350
"ANNEALING","false",0,12200,1000,0,"ConsensusLogLL",-28044.1640975639,"sim-1121221206.msf",13667414
"ANNEALING","false",0,12200,1000,0,"BestSampledLogLL",-28062.1835567079,"sim-1121221206.msf",13667414
"ANNEALING","false",0,12200,1000,0,"PartitionMetric",0,"sim-1121221206.msf",13667414
"ANNEALING","false",0,12200,1000,0,"RobinsonFouldsMetric",0.34093239815987,"sim-1121221206.msf",13667414
"ANNEALING","false",0,12200,1000,0,"KuhnerFelsenstein",0.00400482788164493,"sim-1121221206.msf",13667414
"ANNEALING","true",0,12357,1000,1,"ConsensusLogLL",-28044.8351977131,"sim-1121221206.msf",13888196
"ANNEALING","true",0,12357,1000,1,"BestSampledLogLL",-28058.9507266397,"sim-1121221206.msf",13888196
"ANNEALING","true",0,12357,1000,1,"PartitionMetric",0,"sim-1121221206.msf",13888196
"ANNEALING","true",0,12357,1000,1,"RobinsonFouldsMetric",0.359755064377791,"sim-1121221206.msf",13888196
"ANNEALING","true",0,12357,1000,1,"KuhnerFelsenstein",0.00425264778750076,"sim-1121221206.msf",13888196
"ANNEALING","false",0,12357,1000,1,"ConsensusLogLL",-28044.121068352,"sim-1121221206.msf",13904275
"ANNEALING","false",0,12357,1000,1,"BestSampledLogLL",-28061.6363391409,"sim-1121221206.msf",13904275
"ANNEALING","false",0,12357,1000,1,"PartitionMetric",0,"sim-1121221206.msf",13904275
"ANNEALING","false",0,12357,1000,1,"RobinsonFouldsMetric",0.338280996498205,"sim-1121221206.msf",13904275
"ANNEALING","false",0,12357,1000,1,"KuhnerFelsenstein",0.00394710823435928,"sim-1121221206.msf",13904275
"ANNEALING","true",0,12541,1000,0,"ConsensusLogLL",-28044.6558472914,"sim-1121221206.msf",14955566
"ANNEALING","true",0,12541,1000,0,"BestSampledLogLL",-28059.3853302608,"sim-1121221206.msf",14955566
"ANNEALING","true",0,12541,1000,0,"PartitionMetric",0,"sim-1121221206.msf",14955566
